N 11000 train 10265 val 400
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/310 [00:00<?, ?it/s]Loading weights:   0%|          | 1/310 [00:00<00:59,  5.20it/s]Loading weights:  17%|█▋        | 53/310 [00:00<00:01, 222.52it/s]Loading weights:  27%|██▋       | 84/310 [00:00<00:00, 247.27it/s]Loading weights:  37%|███▋      | 114/310 [00:00<00:00, 255.71it/s]Loading weights:  51%|█████     | 157/310 [00:00<00:00, 249.28it/s]Loading weights:  60%|██████    | 186/310 [00:00<00:00, 260.16it/s]Loading weights:  69%|██████▉   | 214/310 [00:00<00:00, 264.77it/s]Loading weights:  78%|███████▊  | 242/310 [00:01<00:00, 261.99it/s]Loading weights:  87%|████████▋ | 269/310 [00:01<00:00, 261.71it/s]Loading weights:  97%|█████████▋| 301/310 [00:01<00:00, 274.65it/s]Loading weights: 100%|██████████| 310/310 [00:01<00:00, 255.64it/s]
[transformers] [1mQwen3Model LOAD REPORT[0m from: Qwen/Qwen3-1.7B
Key            | Status     |  | 
---------------+------------+--+-
lm_head.weight | UNEXPECTED |  | 

Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: joshuadavid to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run hgoecgxn
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /workspace/hex-rl-cot-deconfusion/wandb/run-20260812_071800-hgoecgxn
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run armF_moves_r2
wandb: ⭐️ View project at https://wandb.ai/joshuadavid/hex-rl-cot-deconfusion
wandb: 🚀 View run at https://wandb.ai/joshuadavid/hex-rl-cot-deconfusion/runs/hgoecgxn
step 2600 loss 0.5141 col 0.467 pca 0.633 render 0.442 (0.64s/step)
step 2625 loss 0.5170 col 0.470 pca 0.607 render 0.474 (0.64s/step)
step 2650 loss 0.5395 col 0.479 pca 0.643 render 0.496 (0.63s/step)
step 2675 loss 0.4353 col 0.368 pca 0.504 render 0.433 (0.63s/step)
step 2700 loss 0.4906 col 0.428 pca 0.598 render 0.446 (0.63s/step)
step 2725 loss 0.4581 col 0.405 pca 0.540 render 0.429 (0.63s/step)
step 2750 loss 0.5078 col 0.456 pca 0.617 render 0.450 (0.63s/step)
step 2750 val R2 mean: col 0.5613 pca 0.3146 render 0.5559
step 2775 loss 0.4861 col 0.415 pca 0.553 render 0.490 (0.64s/step)
step 2800 loss 0.4614 col 0.405 pca 0.541 render 0.437 (0.64s/step)
step 2825 loss 0.5536 col 0.492 pca 0.666 render 0.503 (0.64s/step)
step 2850 loss 0.4234 col 0.369 pca 0.476 render 0.425 (0.64s/step)
step 2875 loss 0.4939 col 0.430 pca 0.572 render 0.480 (0.63s/step)
step 2900 loss 0.4831 col 0.432 pca 0.561 render 0.457 (0.63s/step)
step 2925 loss 0.4903 col 0.426 pca 0.569 render 0.475 (0.63s/step)
step 2950 loss 0.5069 col 0.459 pca 0.603 render 0.459 (0.63s/step)
step 2975 loss 0.4365 col 0.383 pca 0.510 render 0.417 (0.63s/step)
step 3000 loss 0.4385 col 0.376 pca 0.502 render 0.438 (0.63s/step)
step 3000 val R2 mean: col 0.5707 pca 0.3385 render 0.5633
step 3025 loss 0.4667 col 0.408 pca 0.540 render 0.452 (0.64s/step)
step 3050 loss 0.5142 col 0.450 pca 0.600 render 0.493 (0.64s/step)
step 3075 loss 0.5018 col 0.461 pca 0.611 render 0.434 (0.64s/step)
step 3100 loss 0.4443 col 0.384 pca 0.510 render 0.439 (0.64s/step)
step 3125 loss 0.4962 col 0.453 pca 0.599 render 0.437 (0.64s/step)
step 3150 loss 0.4231 col 0.367 pca 0.471 render 0.431 (0.63s/step)
step 3175 loss 0.4321 col 0.369 pca 0.471 render 0.455 (0.63s/step)
step 3200 loss 0.5134 col 0.475 pca 0.604 render 0.461 (0.63s/step)
step 3225 loss 0.4920 col 0.446 pca 0.568 render 0.462 (0.63s/step)
step 3250 loss 0.4429 col 0.384 pca 0.495 render 0.450 (0.63s/step)
step 3250 val R2 mean: col 0.5743 pca 0.3518 render 0.5694
